,Brewery,Beer Name,Style,ABV,IBU,SRM
65,Laughing Sun Brewing Company,19th Amendment Imperial Stout,American-Style Imperial Stout,7.8,35.0,40
66,Real Ale Brewing Company,19th Anniversary Ale,Baltic-Style Porter,7.7,30.0,39
67,Roughtail Brewing Company,1st Anniversary Ale,Imperial or Double India Pale Ale,9.3,100.0,7
68,Revolution Brewing,1ZENUFF,Imperial or Double India Pale Ale,11.0,100.0,13
69,The Bruery,2 Turtle Doves,Belgian-Style Dark Strong Ale,12.0,25.0,30
70,Boston Beer Company,20 Pounds of Pumpkin,Pumpkin Beer,5.7,14.0,33
71,GBrewhouse,2013 Holiday IPA,American-Style India Pale Ale,7.7,60.0,12
72,Red Brick Brewing Company,20th Anniversary,Wood- and Barrel-Aged Strong Beer,10.0,80.0,41
73,CB Craft Brewers,20th Anniversary Double Dry Hopped Sour Ale,American-Style Sour Ale,8.0,4.8,6
74,Uinta Brewing Company,20th Birthday Suit,American-Style Sour Ale,7.4,20.0,20
75,Karl Strauss Brewing Company,21st Anniversary,Specialty Beer,10.2,28.0,24
76,Karl Strauss Brewing Company,21st Anniversary Ale,Wood- and Barrel-Aged Beer,10.2,28.0,24
77,Lost Rhino Brewing Company,2200lbs of Sin,American-Style Barley Wine Ale,9.2,96.0,18
78,Karl Strauss Brewing Company,22nd Anniversary Vanilla Imperial Stout,Specialty Beer,9.0,50.0,41
79,Karl Strauss Brewing Company,23rd Anniversary,Old Ale,12.2,30.0,20
80,Roughtail Brewing Company,2nd Anniversary Ale,American-Style India Pale Ale,7.5,74.0,14
81,Excel Brewing Company,2nd Anniversary Imperial Porter,Baltic-Style Porter,11.0,40.0,30
82,Discretion Brewing,2nd Conversation,Specialty Stouts,7.7,43.0,41
83,Red Brick Brewing Company,3 Bagger,Belgian-Style Tripel,9.0,40.0,5
84,Green Beacon Brewing Co,3 Bolt Pale Ale,American-Style Pale Ale,4.5,35.0,17
85,The Bruery,3 French Hens (2010),Belgian-Style Dark Strong Ale,10.0,22.5,30
86,Lolo Peak Brewing Company,3 Needles IPA,English-Style India Pale Ale,6.2,50.0,8
87,Newstead Brewing Co,3 Quarter Time Session Ale,English-Style Pale Mild Ale,3.4,23.0,4
88,Grayton Beer Co,30A Beach Blonde,Golden or Blonde Ale,4.6,13.0,3
89,DuClaw Brewing Company,31,European-Style Dark / Münchner Dunkel,5.7,27.0,31
90,Valiant Brewing,31 Kings,American-Style India Pale Ale,6.5,75.0,11
91,Goose Island Beer Company,312 Urban Wheat Ale,Light American Wheat Ale or Lager with Yeast,4.2,18.0,3
92,Lost Province Brewing Co,3333? Imperial IPA,Imperial or Double India Pale Ale,8.7,85.0,16
93,Bull Island Brewing Company,38 Hour Sour,Berliner-Style Weisse (Wheat),4.4,4.0,4
94,Excel Brewing Company,3rd Anniversary Saison (Chardonnay Barrel),Wood- and Barrel-Aged Strong Beer,9.0,20.0,4
95,Excel Brewing Company,3rd Anniversary Saison (Red Wine Barrel),Wood- and Barrel-Aged Strong Beer,9.0,20.0,4
96,Nighthawk Brewery,3rd Light Gold Ale,English-Style Summer Ale,5.0,24.0,6
97,Grist Brewing Company,3rd Ring Belgian Strong Ale,Belgian-Style Dark Strong Ale,10.5,21.0,15
98,Summit Brewing Company,3X Mild Ale,English-Style Dark Mild Ale,7.2,38.0,29
99,Nantahala Brewing Company,4 Foot Drop,American-Style Pale Ale,4.0,46.0,6
100,Old World Brewery,4-Leaf Irish Red Ale,Irish-Style Red Ale,5.5,21.0,25
101,Greenbush Brewing Co,400 Divine Rabbits,American-Style Wheat Wine Ale,5.975,15.0,10
102,Vanessa House Beer Company,401(K) Cream Ale,American-Style Cream Ale or Lager,5.1,19.0,5
103,Holston River Brewing Company,423 Blonde Ale,Golden or Blonde Ale,5.0,10.9,5
